,label,message
0,0,"['Sorry', 'uncle', 'Ill', 'keep', 'touch']"
1,0,"['He', 'said', 'right', 'giggle', 'saw', 'You', 'would', 'possibly', 'first', 'person2die', 'NVQ', 'think', 'much', 'could']"
2,0,"['Also', 'north', 'carolina', 'texas', 'atm', 'would', 'go', 'gre', 'site', 'pay', 'test', 'results', 'sent']"
3,1,"['Had', 'mobile', '10', 'mths', 'Update', 'latest', 'Orange', 'cameravideo', 'phones', 'FREE', 'Save', '£s', 'Free', 'textsweekend', 'calls', 'Text', 'YES', 'callback', 'orno', 'opt']"
4,0,"['So', 'many', 'people', 'seems', 'special', 'first', 'sight', 'But', 'remain', 'special', 'till', 'last', 'sight', 'Maintain', 'till', 'life', 'ends', 'Shjas']"
5,0,"['Ok', 'problem', 'Yup', 'going', 'sch', '4', 'rem', 'correctly']"
6,1,"['Thanks', 'Vote', 'Now', 'sing', 'along', 'stars', 'Karaoke', 'mobile', 'For', 'FREE', 'link', 'reply', 'SING']"
7,0,"['I', 'came', 'hostel', 'I', 'going', 'sleep', 'Plz', 'call', 'class', 'Hrishi']"
8,0,"['Once', 'free', 'call', 'sir']"
9,1,"['Forwarded', '448712404000Please', 'CALL', '08712404000', 'immediately', 'urgent', 'message', 'waiting']"
10,0,"['Dear', 'relieved', 'westonzoyland', 'going', 'plan', 'end']"
11,1,"['Call', 'FREEPHONE', '0800', '542', '0578']"
12,0,"['Mm', 'way', 'railway']"
13,0,"['Enjoy', 'showers', 'possessiveness', 'poured', 'loved', 'ones', 'bcoz', 'world', 'lies', 'golden', 'gift', 'loved', 'truly']"
14,0,"['I', 'wif', 'buying', 'tix', 'lar']"
15,0,"['Going', 'join', 'tomorrow']"
16,0,"['Wen', 'lovable', 'bcums', 'angry', 'wid', 'dnt', 'take', 'seriously', 'Coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'love', 'kettoda', 'manda', 'Have', 'nice', 'day', 'da']"
17,0,"['Hey', 'chief', 'give', 'bell', 'get', 'Need', 'talk', 'royal', 'visit', '1st', 'june']"
18,1,"['wamma', 'get', 'laidwant', 'real', 'doggin', 'locations', 'sent', 'direct', 'mobile', 'join', 'UKs', 'largest', 'dogging', 'network', 'txt', 'dogs', '69696', 'nownyt', 'ec2a', '3lp', '£150message']"
19,0,"['Good', 'afternoon', 'love', 'Any', 'job', 'prospects', 'Are', 'missing', 'What', 'Are', 'lazy', 'bleak', 'hmmm', 'Or', 'happy', 'filled', 'love']"
20,0,"['Yeah', 'get', 'unlimited']"
21,0,"['Not', 'campus', 'Are', 'library']"
22,0,"['Hi', 'wlcome', 'back', 'wonder', 'got', 'eaten', 'lion', 'something', 'nothing', 'much']"
23,0,"['I', 'work', 'Please', 'call']"
24,0,"['Velly', 'good', 'yes', 'please']"
25,0,"['Do', 'Not', 'think', 'need', 'yellow', 'card', 'uk', 'travel', 'Ask', 'someone', 'gone', 'If', 'ltgt', 'bucks']"
26,0,"['Its', 'sunny', 'california', 'The', 'weathers', 'cool']"
27,0,"['I', 'come', 'home']"
28,0,"['I', 'really', 'need', 'shit', 'tomorrow', 'I', 'know', 'awake', 'like', '6']"
29,0,"['A', 'bloo', 'bloo', 'bloo', 'I', 'miss', 'first', 'bowl']"
30,0,"['Nothing', 'ever', 'easy', 'But', 'looking', 'reason', 'take', 'risk', 'life', 'love']"
31,0,"['Lol', 'I', 'hot', 'air', 'balloon']"
32,0,"['Your', 'opinion', '1', 'Over', '2', 'Jada', '3', 'Kusruthi', '4', 'Lovable', '5', 'Silent', '6', 'Spl', 'character', '7', 'Not', 'matured', '8', 'Stylish', '9', 'Simple', 'Pls', 'reply']"
33,0,"['At', 'funeral', 'home', 'Audrey', 'dad']"
34,0,"['Yesterday', 'Now', 'going', 'home']"
35,0,"['Hey', 'guy', 'I', 'know', 'breathing', 'neck', 'get', 'bud', 'anyway', 'would', 'able', 'get', 'half', 'track', 'usf', 'tonight']"
36,1,"['You', '1', 'new', 'voicemail', 'Please', 'call', '08719181513']"
37,0,"['Yo', 'right', 'yo', 'work']"
38,1,"['Promotion', 'Number', '8714714', 'YOU', 'ARE', 'awarded', 'City', 'Break', 'could', 'WIN', '£200', 'Summer', 'Shopping', 'spree', 'every', 'WK', 'Txt', 'STORE', '88039', 'SkilGme', 'TsCs087147403231WinawkAge16', '£150perWKsub']"
39,0,"['Otherwise', 'part', 'time', 'job', 'natuition']"
40,0,"['I', 'cooked', 'rather', 'nice', 'salmon', 'la']"
41,0,"['ok', 'I', 'feel', 'like', 'john', 'lennon']"
42,0,"['Ard', '6', 'like', 'dat', 'lor']"
43,0,"['Give', 'something', 'drink', 'takes', 'vomit', 'temp', 'might', 'drop', 'If', 'unmits', 'however', 'let', 'know']"
44,0,"['Where', 'Is', 'opening', 'mca']"
45,0,"['I', 'hav', 'almost', 'reached', 'Call', 'unable', 'connect']"
46,0,"['You', 'still', 'grand', 'prix']"
47,0,"['I', 'idea']"
48,0,"['Sorry', 'delay', 'Yes', 'masters']"
49,0,"['Hmmmhow', 'many', 'players', 'selected']"
50,1,"['URGENT', 'We', 'trying', 'contact', 'YOU', 'Todays', 'draw', 'shows', '£800', 'prize', 'GUARANTEED', 'Call', '09050001808', 'land', 'line', 'Claim', 'M95', 'Valid12hrs']"
51,0,"['Cool', 'breeze', 'Bright', 'sun', 'Fresh', 'flower', 'Twittering', 'birds', 'All', 'waiting', 'wish', 'GOODMORNING', 'amp', 'HAVE', 'A', 'NICE', 'DAY']"
52,0,"['Nevermind', 'ok']"
53,0,"['YOU', 'definitely', 'need', 'module', 'e', 'humanities', 'dis', 'sem', 'izzit', 'YOU', 'wan', '2', 'take', 'modules', '1st']"
54,0,"['Jay', 'snickering', 'tells', 'x', 'totally', 'fucking', 'chords', 'speak']"
55,1,"['A', '£400', 'XMAS', 'REWARD', 'IS', 'WAITING', 'FOR', 'YOU', 'Our', 'computer', 'randomly', 'picked', 'loyal', 'mobile', 'customers', 'receive', '£400', 'reward', 'Just', 'call', '09066380611']"
56,0,"['There', 'os', 'called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'os', 'copy', 'important', 'files', 'system', 'give', 'repair', 'shop']"
57,0,"['No', 'I', 'check', 'rooms', 'befor', 'activities']"
58,0,"['Beautiful', 'Truth', 'Gravity', 'Read', 'carefully', 'Our', 'heart', 'feels', 'light', 'someone', 'But', 'feels', 'heavy', 'someone', 'leaves', 'GOODMORNING']"
59,0,"['I', 'want', 'hear', 'philosophy', 'Just', 'say', 'happen']"
60,0,"['Ok', 'juz', 'receive']"
61,0,"['But', 'I', 'like', 'love', 'arrange']"
62,0,"['I', 'think', 'rule', 'tamilnaduthen', 'tough', 'people']"
63,0,"['Hmmm', 'And', 'imagine', 'come', 'home', 'rub', 'feet', 'make', 'dinner', 'help', 'get', 'ready', 'date', 'Are', 'sure', 'ready', 'kind', 'life']"
64,0,"['Yeshe', 'really', 'greatbhaji', 'told', 'kallis', 'best', 'cricketer', 'sachin', 'worldvery', 'tough', 'get']"
65,0,"['Yes', 'I', 'care', 'I', 'know']"
66,0,"['I', 'watching', 'lotr', 'w', 'sis', 'dis', 'aft', 'So', 'wan', '2', 'meet', '4', 'dinner', 'nite']"
67,0,"['Are', 'work', 'right']"
68,0,"['Hello', 'boytoy', 'Geeee', 'I', 'missing', 'today', 'I', 'like', 'send', 'tm', 'remind', 'I', 'thinking', 'And', 'loved', 'loving', 'kiss']"
69,0,"['The', 'bus', 'leaves', 'ltgt']"
70,0,"['Ard', '530', 'like', 'dat', 'lor', 'We', 'juz', 'meet', 'mrt', 'station', 'ü', 'dun', 'haf', 'come']"
71,0,"['I', 'way', 'tirupur']"
72,1,"['SMS', 'SERVICES', 'inclusive', 'text', 'credits', 'pls', 'goto', 'wwwcomuknet', 'login', '3qxj9', 'unsubscribe', 'STOP', 'extra', 'charge', 'help', '08702840625COMUK', '220CM2', '9AE']"
73,0,"['We', 'meet', 'soon', 'princess', 'Ttyl']"
74,1,"['You', 'WON', 'guaranteed', '£1000', 'cash', '£2000', 'prize', 'To', 'claim', 'yr', 'prize', 'call', 'customer', 'service', 'representative', '08714712394', '10am7pm']"
75,0,"['Hey', 'still', 'gym']"
76,0,"['Dai', 'ltgt', 'naal', 'eruku']"
77,0,['Ok']
78,0,"['You', 'got', 'called', 'tool']"
79,0,"['No', 'da', 'I', 'happy', 'sit', 'together', 'na']"
80,0,"['Was', 'test', 'earlier', 'I', 'appreciate', 'Will', 'call', 'tomorrow']"
81,1,"['Fantasy', 'Football', 'back', 'TV', 'Go', 'Sky', 'Gamestar', 'Sky', 'Active', 'play', '£250k', 'Dream', 'Team', 'Scoring', 'starts', 'Saturday', 'register', 'nowSKY', 'OPT', 'OUT', '88088']"
82,1,"['Panasonic', 'BluetoothHdset', 'FREE', 'Nokia', 'FREE', 'Motorola', 'FREE', 'DoubleMins', 'DoubleTxt', 'Orange', 'contract', 'Call', 'MobileUpd8', '08000839402', 'call', '2optout']"
83,0,"['My', 'sister', 'got', 'placed', 'birla', 'soft', 'da']"
84,0,"['Fyi', 'I', 'taking', 'quick', 'shower', 'epsilon', 'like', 'ltgt', 'min']"
85,0,"['Oh', 'charge', 'camera']"
86,0,"['Slept', 'I', 'thinkThis', 'time', 'ltgt', 'pm', 'dangerous']"
87,0,"['Yup', 'need', 'I', 'jus', 'wait', '4', 'e', 'rain', '2', 'stop']"
88,0,"['Okey', 'dokey', 'i‘ll', 'bit', 'sorting', 'stuff']"
89,0,"['said', 'kiss', 'kiss', 'cannot', 'sound', 'effects', 'He', 'gorgeous', 'man', 'Kind', 'person', 'needs', 'smile', 'brighten', 'day']"
90,0,"['Not', 'yet', 'Just', 'would', 'like', 'keep', 'touch', 'easiest', 'way', 'barcelona', 'By', 'way', 'ru', 'house']"
91,0,"['Friendship', 'game', 'play', 'It', 'word', 'say', 'It', 'doesnt', 'start', 'March', 'ends', 'May', 'It', 'tomorrow', 'yesterday', 'today', 'e']"
92,0,"['Sorry', 'I', 'call', 'later']"
93,0,"['In', 'sch', 'neva', 'mind', 'eat', '1st', 'lor']"
94,0,"['Ha', 'Both', 'us', 'e', 'thing', 'But', 'got', 'tv', '2', 'watch', 'YOU', 'thk', '2', 'go', 'tonight', 'already', 'haf', 'smth', 'mind']"
95,0,"['Yeah', 'right', 'I', 'bring', 'tape', 'measure', 'fri']"
96,0,"['Haha', 'better', 'late', 'ever', 'way', 'I', 'could', 'swing']"
97,0,"['I', 'file', 'bagi', 'work', 'called', 'mei', 'tell', 'find', 'anything', 'room']"
98,0,"['WE', 'REGRET', 'TO', 'INFORM', 'YOU', 'THAT', 'THE', 'NHS', 'HAS', 'MADE', 'A', 'MISTAKEYOU', 'WERE', 'NEVER', 'ACTUALLY', 'BORNPLEASE', 'REPORT', '2', 'YOR', 'LOCAL', 'HOSPITAL', '2B', 'TERMINATEDWE', 'R', 'SORRY', '4', 'THE', 'INCONVENIENCE']"
99,1,"['500', 'free', 'text', 'msgs', 'Just', 'text', 'ok', '80488', 'credit', 'account']"
100,0,"['O', 'Well', 'uv', 'causes', 'mutations', 'Sunscreen', 'like', 'essential', 'thesedays']"
101,0,"['Wen', 'lovable', 'bcums', 'angry', 'wid', 'dnt', 'take', 'seriously', 'Coz', 'angry', 'childish', 'n', 'true', 'way', 'showing', 'deep', 'affection', 'care', 'n', 'love', 'kettoda', 'manda', 'Have', 'nice', 'day', 'da']"
102,1,"['URGENT', 'Your', 'Mobile', 'number', 'awarded', '£2000', 'prize', 'GUARANTEED', 'Call', '09061790121', 'land', 'line', 'Claim', '3030', 'Valid', '12hrs', '150ppm']"
103,0,"['How', 'Make', 'girl', 'Happy', 'It', 'difficult', 'make', 'girls', 'happy', 'YOU', 'need', '1', 'A', 'friend', '2', 'Companion', '3', 'Lover', '4', 'Chef', 'ltgt', 'Good', 'listener', 'ltgt', 'Organizer', 'ltgt', 'Good', 'boyfriend', 'ltgt', 'Very', 'clean', 'ltgt', 'Sympathetic', 'ltgt', 'Athletic', 'ltgt', 'Warm', 'ltgt', 'Courageous', 'ltgt', 'Determined', 'ltgt', 'True', 'ltgt', 'Dependable', 'ltgt', 'Intelligent', 'ltgt', 'Psychologist', 'ltgt', 'Pest', 'exterminator', 'ltgt', 'Psychiatrist', 'ltgt', 'Healer', 'ltgt', 'Stylist', 'ltgt', 'Driver', 'Aaniye', 'pudunga', 'venaam']"
104,0,"['Also', 'hi', 'wesley', 'howve']"
105,1,"['XMAS', 'iscoming', 'awarded', 'either', '£500', 'CD', 'gift', 'vouchers', 'free', 'entry', '2', '£100', 'weekly', 'draw', 'txt', 'MUSIC', '87066', 'TnC', 'wwwLdewcom1win150ppmx3age16subscription']"
106,0,"['Thk', 'find', 'wtc', 'far', 'Weiyi', 'goin', 'E', 'rest', 'know', 'yet', 'R', 'goin', '4', 'dinner', 'den', 'might', 'b', 'able', 'join']"
107,1,"['CDs', '4u', 'Congratulations', 'awarded', '£500', 'CD', 'gift', 'vouchers', '£125', 'gift', 'guaranteed', 'Freeentry', '2', '£100', 'wkly', 'draw', 'xt', 'MUSIC', '87066', 'TnCs', 'wwwldewcom1win150ppmx3age16']"
108,0,"['Awesome', 'plan', 'get', 'time', 'like', 'ltgt', 'I', 'text', 'details', 'wee', 'bit']"
